Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
blca34_org,-0.013,-0.022,-0.014,-0.032,-0.026,-0.036,-0.038,-0.039,-0.021,-0.031,-0.013,-0.052,-0.009,-0.016,-0.021,-0.039,-0.025,-0.006,-0.016,-0.019,-0.022,-0.02,-0.021,-0.021,NA,-0.031,NA,-0.019,NA,-0.024,0.033,0.012,0.036,0.022,-0.031,-0.053,0.094,0.069,-0.021,-0.02,-0.04,-0.026,0.023,0.024,0.092,0.084
blca34_tum,-0.008,-0.019,-0.015,-0.023,-0.035,-0.023,-0.03,-0.02,-0.029,-0.021,-0.005,-0.028,-0.01,-0.01,-0.025,-0.03,0.004,-0.01,-0.012,-0.023,-0.028,-0.022,-0.018,-0.012,NA,-0.023,NA,-0.022,NA,-0.018,0.022,-0.014,0.002,0.002,-0.018,-0.039,0.061,0.025,-0.043,-0.027,-0.024,-0.022,-0.014,-0.005,0.078,0.086
blca35_org,-0.143,0.022,0.106,-0.155,-0.057,-0.024,0.109,-0.163,0.142,-0.009,-0.079,-0.184,0.159,0.135,-0.335,0.574,0.116,-0.144,0.086,-0.038,-0.158,-0.151,0.122,0.07,NA,0.071,NA,-0.054,NA,-0.026,0.022,-0.008,-0.131,-0.086,-0.189,-0.215,0.063,0.091,-0.049,0.166,0.008,-0.006,0.018,-0.006,0.093,0.089
blca35_tum,-0.22,0.066,0.195,-0.206,-0.015,0.002,0.231,-0.195,0.235,0.072,-0.122,-0.24,0.233,0.186,-0.529,0.857,0.168,-0.246,0.153,-0.031,-0.214,-0.198,0.199,0.136,NA,0.171,NA,-0.118,NA,-0.001,0.015,0.007,-0.238,-0.169,-0.253,-0.275,-0.032,0.045,-0.029,0.271,0.061,0.025,0.005,-0.03,0.068,0.122
blca40_org,-0.009,0.199,0.013,-0.007,-0.007,0.041,-0.024,-0.029,0.009,-0.039,0.014,-0.335,0.017,0.035,-0.291,0.006,-0.302,-0.19,-0.001,-0.029,-0.151,-0.16,-0.22,-0.009,NA,0.428,NA,-0.032,NA,-0.013,-0.241,-0.031,-0.127,0.07,-0.008,-0.02,-0.008,0.031,-0.023,-0.024,-0.13,-0.133,-0.09,-0.032,0.045,0.016
blca40_tum,-0.023,0.472,0.005,-0.03,-0.02,0.341,-0.037,-0.02,-0.037,-0.032,-0.035,-0.571,-0.043,-0.027,-0.526,-0.003,-0.681,-0.738,0.207,0.165,-0.503,-0.33,-0.519,-0.01,NA,0.487,NA,-0.333,NA,-0.027,-0.073,-0.07,-0.354,0.123,-0.041,-0.041,-0.032,-0.025,-0.024,-0.019,-0.159,-0.13,-0.024,-0.021,0.021,0.007
blca46_org,-0.026,0.52,0.07,-0.139,0.488,-0.032,-0.394,-0.397,-0.113,-0.145,-0.029,-0.035,0.33,0.327,0.368,0.343,0.29,-0.293,-0.0,-0.027,-0.365,-0.365,-0.285,-0.296,NA,0.18,NA,-0.021,NA,-0.039,0.025,-0.013,-0.021,-0.062,-0.052,-0.061,0.379,0.345,0.57,0.573,0.031,0.017,-0.006,-0.006,0.282,0.274
blca46_tum,-0.032,0.482,0.105,-0.128,0.446,-0.035,-0.402,-0.403,0.046,0.006,-0.025,-0.045,0.266,0.271,0.384,0.4,0.132,-0.514,-0.028,-0.043,-0.379,-0.38,-0.352,-0.355,NA,0.229,NA,-0.048,NA,-0.049,-0.041,-0.051,-0.01,-0.01,-0.045,-0.064,0.311,0.265,0.589,0.593,0.058,0.022,-0.01,-0.006,0.183,0.182
blca47_org,-0.018,-0.006,-0.006,-0.016,-0.015,-0.011,-0.041,-0.017,0.031,-0.018,-0.011,-0.016,0.006,-0.011,-0.007,-0.011,0.075,0.046,0.009,-0.028,-0.026,-0.02,0.002,-0.014,NA,-0.023,NA,-0.036,NA,-0.011,0.044,-0.011,0.016,-0.019,-0.025,-0.027,-0.001,0.017,-0.031,-0.016,0.93,-0.021,0.036,-0.005,0.038,0.029
blca47_tum,-0.002,-0.079,0.076,-0.064,-0.078,0.121,-0.139,-0.1,0.625,-0.086,0.103,-0.071,0.09,-0.034,-0.098,0.013,0.179,0.099,0.079,-0.092,0.019,0.106,0.092,-0.029,NA,-0.024,NA,0.005,NA,-0.102,-0.094,-0.098,0.074,-0.081,-0.019,-0.235,-0.024,0.105,0.088,0.137,-0.008,-0.04,0.149,-0.042,0.082,0.059
