Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
WCM389_O2,-0.061,0.021,-0.14,-0.14,-0.13,-0.13,0.034,0.117,0.573,0.12,0.12,-0.769,0.13,0.13,-0.744,0.15,-0.629,0.184,-0.87,0.13,0.15,0.15,0.7,0.7,NA,-0.08,NA,-0.11,NA,0.27,0.208,-0.11,-0.877,-0.09,0.41,-0.982,-0.1,-0.1,-0.104,-0.1,-0.14,-0.14,NA,-0.14,-0.825,0.11
WCM389_O3,-0.07,0.013,-0.16,-0.16,-0.14,-0.14,0.034,0.12,0.582,0.11,0.1,-0.772,0.11,0.11,-0.728,0.13,-0.631,0.157,-0.88,0.095,0.13,0.13,0.65,0.65,NA,-0.105,NA,-0.13,NA,0.25,0.19,-0.13,-0.892,-0.03,0.37,-1.009,-0.12,-0.12,-0.11,-0.11,-0.14,-0.14,NA,-0.15,-0.822,0.1
WCM389_P1,-0.069,0.007,-0.19,-0.19,-0.16,-0.16,0.015,0.09,0.547,0.1,0.04,-0.796,0.1,0.1,-0.747,0.12,-0.663,0.142,-0.9,0.12,0.13,0.13,0.69,0.69,NA,-0.16,NA,-0.16,NA,-0.05,0.217,-0.1,-0.914,-0.13,0.13,-1.055,-0.14,-0.14,-0.13,-0.13,-0.18,-0.18,NA,-0.15,-0.786,0.1
WCM389_T1,-0.03,-0.03,0.03,0.03,0.02,0.02,0.05,0.05,0.479,0.03,0.02,-0.816,0.981,0.02,-0.81,0.02,-0.728,-0.004,-0.88,0.006,-0.01,-0.01,0.57,0.57,NA,0.05,NA,0.01,NA,0.0,0.31,-0.04,-0.829,-0.07,0.63,-0.75,-0.1,-0.1,-0.03,-0.03,-0.02,-0.02,NA,-0.06,-0.872,0.0
WCM392_O1,-0.043,0.08,0.442,0.058,0.231,0.42,-0.081,-0.105,0.62,0.51,0.5,0.5,0.898,0.919,-0.562,0.731,0.8,0.751,0.125,0.53,0.661,0.477,0.49,0.321,NA,0.84,NA,0.194,NA,0.44,-0.05,-0.05,0.008,0.168,-0.03,-0.285,0.373,0.137,1.011,1.061,0.42,-0.092,NA,0.16,-0.01,0.203
WCM392_O2,-0.07,0.037,0.598,0.312,0.247,0.38,-0.111,-0.116,0.569,0.48,0.52,0.63,0.89,0.92,-0.512,0.69,0.86,0.787,0.053,0.48,0.781,0.474,0.43,0.28,NA,0.98,NA,0.148,NA,0.37,-0.11,-0.11,-0.1,0.351,-0.11,-0.28,0.343,0.032,1.007,1.065,0.37,-0.139,NA,-0.09,0.16,0.213
WCM392_O3,-0.019,0.077,0.73,0.477,0.289,0.42,-0.07,0.043,0.567,0.47,0.637,0.73,0.915,0.94,-0.44,0.74,0.92,0.844,0.106,0.55,0.854,0.488,0.49,0.347,NA,1.16,NA,0.2,NA,0.446,-0.06,-0.06,-0.085,0.423,-0.17,-0.17,0.517,0.196,1.104,1.134,0.39,-0.108,NA,-0.06,0.44,0.705
WCM392_O4,-0.027,0.1,0.568,0.122,0.286,0.43,-0.06,-0.06,0.639,0.52,0.19,0.592,0.897,0.92,-0.527,0.757,0.9,0.837,0.168,0.5,0.594,0.531,0.53,0.361,NA,0.76,NA,0.239,NA,0.445,-0.05,-0.05,-0.001,0.045,-0.17,-0.17,0.389,0.067,1.069,1.115,0.43,-0.068,NA,0.08,-0.16,0.064
WCM392_O5,0.016,0.147,0.51,0.065,0.356,0.839,0.586,0.02,1.03,0.04,0.6,0.6,0.817,0.839,-0.405,0.827,0.61,0.61,0.624,0.59,0.612,0.479,0.61,0.369,NA,0.87,NA,0.201,NA,0.5,-0.03,-0.03,-0.011,0.046,-0.09,-0.09,0.349,0.129,0.801,1.168,0.53,-0.014,NA,0.54,-1.0,-0.628
WCM392_P1,0.001,0.115,0.518,0.236,0.266,0.47,-0.011,-0.035,0.704,0.58,0.501,0.6,0.962,0.989,-0.402,0.759,0.9,0.847,0.162,0.6,0.853,0.54,0.44,0.332,NA,1.13,NA,0.244,NA,0.493,-0.01,-0.01,-0.024,0.42,0.11,-0.122,0.519,0.203,1.137,1.139,0.47,-0.046,NA,-0.02,0.31,0.355
