Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
GX068-TF,-0.06,-0.035,-0.273,-0.187,-0.089,0.071,-0.364,-0.317,0.55,-0.18,-0.09,-0.134,0.236,0.24,-0.462,-0.102,-0.447,-0.47,0.241,-0.217,-0.08,0.287,-0.143,0.035,NA,-0.101,NA,0.439,NA,-0.368,0.265,0.279,-0.366,-0.34,0.134,-0.59,0.105,0.475,0.577,0.476,-0.327,-0.327,NA,-0.152,0.144,-0.167
GX068-TO,0.021,-0.035,-0.352,-0.243,-0.218,-0.002,-0.536,-0.457,0.537,-0.225,-0.099,-0.042,0.319,0.068,-0.347,0.301,-0.55,-0.557,0.264,-0.536,-0.197,0.181,-0.172,0.049,NA,-0.047,NA,0.382,NA,-0.306,0.125,0.391,-0.764,-0.17,-0.159,-0.681,-0.246,0.24,0.654,0.654,-0.543,-0.543,NA,-0.175,0.166,0.035
GX069-TF,0.013,0.099,-0.008,-0.008,-0.07,0.11,-0.084,-0.036,-0.039,-0.039,0.019,0.019,-0.028,-0.028,0.104,0.075,0.084,0.067,-0.02,-0.02,-0.007,0.002,-0.112,0.047,NA,0.052,NA,-0.045,NA,-0.088,-0.064,-0.064,-0.162,0.003,0.081,0.081,-0.171,-0.07,0.152,0.152,-0.141,-0.141,NA,-0.094,-0.079,-0.079
GX069-TO,0.015,0.052,-0.048,-0.048,-0.216,0.275,-0.606,-0.606,-0.073,-0.613,-0.035,-0.58,-0.08,-0.046,0.338,0.219,0.322,0.322,0.089,-0.056,-0.027,0.064,-0.624,0.27,NA,0.34,NA,-0.054,NA,-0.065,-0.05,-0.05,-0.624,0.142,0.021,-0.023,-0.545,-0.545,0.686,0.686,0.111,-0.615,NA,-0.052,0.184,0.184
GX070-TF,-0.006,0.019,-0.009,0.018,0.001,0.001,0.013,0.013,0.013,0.013,0.016,0.016,-0.005,-0.005,0.006,0.006,-0.007,-0.007,-0.008,-0.008,0.004,0.004,0.0,0.0,NA,0.015,NA,-0.011,NA,-0.011,-0.029,-0.029,-0.025,-0.025,0.012,0.012,-0.064,-0.064,-0.008,-0.008,-0.007,-0.007,NA,-0.048,0.061,0.061
GX070-TO,-0.02,-0.015,-0.035,-0.036,-0.032,-0.025,-0.033,-0.026,-0.045,-0.042,-0.017,-0.023,-0.022,-0.024,-0.045,-0.033,-0.006,0.011,-0.042,-0.039,-0.021,-0.017,-0.025,-0.023,NA,-0.014,NA,-0.023,NA,-0.042,-0.033,-0.02,-0.025,-0.034,-0.043,-0.029,-0.014,-0.012,-0.022,-0.022,-0.015,-0.02,NA,-0.055,0.829,0.829
GX072-TF,-0.471,0.093,-0.169,-0.192,-0.109,-0.093,-0.459,-0.459,0.702,-0.178,0.212,0.212,0.159,0.159,0.12,0.137,0.038,0.027,0.034,0.034,0.158,-0.394,-0.127,-0.149,NA,0.748,NA,0.023,NA,-0.279,0.048,0.109,-0.415,-0.05,-0.622,-0.541,0.037,0.137,1.235,0.689,-0.513,-0.513,NA,-0.188,-0.331,-0.331
GX072-TO,-0.495,0.122,-0.03,-0.414,-0.439,-0.439,-0.519,-0.519,0.777,-0.206,0.079,0.079,0.063,0.063,0.049,0.049,-0.012,-0.012,0.04,0.04,0.218,-0.416,-0.009,-0.032,NA,0.44,NA,0.126,NA,-0.022,-0.042,-0.013,-0.498,-0.014,-1.146,-1.055,0.202,0.12,1.307,0.8,-0.936,-0.7,NA,-0.025,-0.095,-0.06
H001-NO,0.024,-0.028,-0.052,-0.052,-0.051,-0.055,-0.052,-0.052,-0.058,-0.058,-0.026,-0.077,-0.054,-0.018,-0.058,-0.058,-0.044,-0.034,-0.041,-0.054,-0.023,-0.059,-0.104,-0.043,NA,-0.034,NA,-0.005,NA,-0.012,0.03,0.03,0.078,0.084,-0.11,-0.006,0.101,0.101,-0.011,-0.011,0.048,0.048,NA,0.068,-0.271,-0.244
H001-NOL,0.01,-0.027,-0.04,-0.04,-0.03,-0.034,-0.034,-0.047,-0.03,-0.03,-0.035,-0.035,-0.015,-0.015,-0.042,-0.038,-0.041,-0.02,-0.014,-0.014,-0.018,-0.016,-0.011,-0.011,NA,-0.045,NA,-0.008,NA,-0.004,0.044,0.031,0.057,0.057,-0.037,-0.037,0.057,0.051,0.022,0.022,0.024,0.024,NA,0.08,-0.2,-0.2
