Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
MSKPCa9_MET,-0.052,0.17,0.039,0.044,0.075,0.39,-0.024,0.136,0.054,0.052,0.041,0.041,0.136,0.144,-0.382,0.487,0.033,0.106,0.05,-0.011,0.104,-0.158,-0.367,0.045,NA,-0.051,NA,0.078,NA,0.033,0.125,-0.418,-0.05,0.074,0.077,-0.361,0.115,0.089,-0.336,0.053,NA,0.092,NA,-0.017,-0.078,0.092
MSKPCa12_MET,0.052,0.062,0.091,0.088,0.106,0.132,0.005,0.005,0.174,0.174,0.02,0.027,0.104,0.104,0.068,0.068,0.007,0.007,0.066,0.066,-0.008,-0.008,0.112,0.011,NA,-0.01,NA,0.109,NA,0.002,0.03,0.031,0.014,-0.016,-0.015,-0.015,-0.035,-0.035,0.064,0.068,NA,0.028,NA,0.186,-0.088,-0.088
MSKPCa13_MET,-0.188,-0.33,0.039,0.054,-0.155,0.273,-0.119,-0.127,0.224,0.067,-0.541,-0.367,0.149,0.149,-0.204,0.479,0.4,0.401,-0.244,-0.244,0.077,0.173,-0.206,-0.206,NA,-0.224,NA,-0.158,NA,-0.33,-0.167,-0.287,-0.152,-0.117,-0.336,-0.336,-0.083,-0.269,-0.081,-0.081,NA,0.083,NA,-0.299,0.007,0.007
MSKPCa14_MET,0.076,0.101,0.144,0.133,0.138,0.132,0.128,0.128,0.123,0.025,-0.763,-0.418,0.136,0.136,0.208,0.585,0.159,0.159,0.106,0.106,0.147,0.147,-0.683,-0.326,NA,-0.208,NA,0.103,NA,-0.428,0.145,0.132,-0.011,0.177,0.128,0.097,0.281,0.224,0.058,0.058,NA,0.118,NA,-0.589,0.004,0.004
MSKPDX16a_MET,0.022,0.132,0.07,-0.475,0.488,0.448,-0.02,0.343,-0.275,-0.237,0.112,0.118,-0.085,0.097,-1.011,2.151,0.09,0.316,0.356,0.356,-0.158,0.567,-0.358,0.164,NA,-0.942,NA,0.474,NA,-0.429,0.237,-0.24,-0.523,-0.005,-0.382,-0.382,0.062,-0.246,-0.082,-0.082,1.78,0.049,NA,-0.58,NA,NA
MSKPCa19_MET,-0.124,0.373,0.042,0.093,0.184,0.593,0.119,-0.413,0.019,-0.015,0.09,0.09,0.07,-0.031,-0.273,0.51,-0.187,0.158,-0.334,0.073,-0.119,0.072,0.17,0.14,NA,-0.443,NA,-0.001,NA,-0.181,0.124,-0.014,-0.446,-0.149,0.506,-0.276,0.114,0.114,0.081,-0.138,NA,-0.338,NA,-0.031,0.012,0.012
MSKPDX34a_MET,-0.186,0.004,-0.004,-0.213,0.102,0.213,-0.034,0.006,0.262,-0.082,-0.088,-0.014,0.082,0.355,-0.596,0.615,0.717,-0.076,0.376,0.08,-0.048,-0.048,0.14,0.113,NA,-0.278,NA,0.192,NA,-0.226,0.097,-0.174,-0.206,-0.112,-0.034,-0.034,-0.078,-0.078,0.135,0.135,NA,0.073,NA,-0.15,0.311,0.105
MSKPCa22_ORG,-0.157,-0.139,-0.048,-0.119,-0.122,-0.075,-0.183,-0.103,-0.01,0.038,-0.1,-0.076,0.373,0.467,-0.791,0.389,-0.128,-0.151,-0.097,-0.1,-0.167,-0.097,0.083,-0.093,NA,-0.095,NA,-0.093,NA,-0.061,-0.128,-0.163,0.066,-0.044,-0.126,-0.115,-0.015,0.105,-0.035,-0.043,-0.034,-0.03,NA,-0.121,-0.198,-0.157
MSKPCa18_MET,0.058,0.099,0.004,-0.034,0.068,0.059,0.275,-0.159,0.121,0.032,-0.342,-0.488,0.811,0.811,-0.094,0.371,-0.361,-0.246,-0.339,-0.275,-0.406,0.043,-0.392,-0.044,NA,-0.606,NA,-0.2,NA,-0.334,0.014,0.014,0.174,0.174,0.392,0.338,-0.067,-0.067,0.398,0.398,NA,-0.022,NA,-0.207,0.635,0.635
MSKPDX09a_MET,-0.005,0.073,0.033,0.072,0.111,0.111,-0.146,0.135,0.044,0.044,0.063,0.063,0.119,0.091,0.023,0.381,0.071,0.062,-0.026,-0.026,0.082,0.082,0.004,0.004,NA,-0.033,NA,0.118,NA,-0.092,-0.033,-0.033,-0.073,-0.038,-0.05,-0.05,-0.129,-0.129,0.137,0.137,NA,-0.072,NA,-0.17,0.045,0.045
MSKPCa24_ORG,-0.089,0.49,-0.06,-0.074,-0.097,0.064,-0.098,-0.19,-0.081,0.112,-0.199,-0.166,-0.085,-0.069,-0.617,0.194,0.099,0.272,0.383,0.321,0.123,-0.083,-0.009,0.415,NA,-0.226,NA,-0.059,NA,-0.1,-0.006,-0.27,-0.084,0.222,0.969,-0.019,-0.126,-0.126,0.376,0.376,NA,-0.1,NA,-0.098,0.528,0.182
MSKPCa20_MET,-0.359,0.236,0.104,0.104,-0.289,-0.296,-0.232,-0.232,-0.219,-0.238,0.074,0.087,0.208,0.239,0.332,0.357,-0.354,-0.354,0.352,0.319,-0.422,-0.084,0.072,0.072,NA,-0.286,NA,0.169,NA,-0.337,-0.047,-0.047,-0.049,0.078,-0.402,-0.402,0.102,0.1,0.01,0.01,NA,0.099,NA,0.084,0.068,0.068
MSKPDX01a_MET,0.09,0.627,0.002,0.174,-0.041,0.201,-0.065,-0.065,0.06,-0.128,0.629,0.264,0.077,-0.093,-0.297,0.326,-0.305,0.005,-0.082,-0.047,-0.017,-0.017,-0.065,-0.011,NA,-0.044,NA,0.244,NA,-0.004,-0.001,-0.251,-0.026,0.041,0.739,0.035,0.01,-0.003,0.073,0.073,NA,0.023,NA,-0.689,-0.082,0.21
